Season,Name,Tm,IP,TBF,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,playerId
2002,Jon Lieber,CHC,141.0,582,1.2160,0.2229,0.4264,0.3506,0.1049,0.0926,0.0558,0.1500,0.3983,0.2822,0.3195,0.1929,0.6037,0.2033,287
2002,Mark Prior,CHC,116.2,486,0.7661,0.2316,0.3333,0.4351,0.0968,0.1129,0.0842,0.2222,0.3741,0.2687,0.3571,0.1531,0.5748,0.2721,301
2002,Kerry Wood,CHC,213.2,895,0.8489,0.2367,0.3505,0.4128,0.1289,0.0978,0.0471,0.0500,0.3611,0.2938,0.3451,0.1504,0.6442,0.2053,304
2002,Carlos Zambrano,CHC,108.1,477,2.0119,0.1759,0.5505,0.2736,0.1071,0.1071,0.0592,0.0000,0.3565,0.2902,0.3533,0.1388,0.6751,0.1861,305
2002,Jim Brower,2 Tms,80.1,344,1.9403,0.2024,0.5263,0.2713,0.1791,0.1045,0.0615,0.2500,0.4303,0.3227,0.2470,0.1793,0.6414,0.1793,313
2002,Elmer Dessens,CIN,178.0,737,1.5419,0.1975,0.4868,0.3157,0.1061,0.1341,0.0543,0.3333,0.4014,0.2789,0.3197,0.1446,0.6224,0.2330,317
2002,Danny Graves,CIN,98.2,412,2.4714,0.2334,0.5457,0.2208,0.0571,0.1000,0.0405,0.3333,0.3926,0.2883,0.3190,0.1564,0.6227,0.2209,326
2002,Joey Hamilton,CIN,124.2,554,2.1919,0.2159,0.5385,0.2457,0.1212,0.1111,0.0599,0.1000,0.4068,0.3196,0.2736,0.1869,0.5922,0.2209,328
2002,Jimmy Haynes,CIN,196.2,852,1.4416,0.2341,0.4522,0.3137,0.0711,0.1066,0.0493,0.1429,0.3754,0.2913,0.3333,0.1308,0.6059,0.2632,329
2002,Chris Reitsma,CIN,138.1,598,1.4452,0.1996,0.4731,0.3274,0.0959,0.1164,0.0758,0.2778,0.4483,0.3491,0.2026,0.1315,0.6272,0.2414,348
2002,Jose Rijo,CIN,77.0,340,1.1748,0.1855,0.4400,0.3745,0.1359,0.1262,0.1074,0.0000,0.4982,0.2918,0.2100,0.1429,0.6286,0.2286,349
2002,Scott Sullivan,CIN,78.2,357,0.7822,0.2241,0.3405,0.4353,0.1188,0.1485,0.1646,0.3636,0.4733,0.2922,0.2346,0.1446,0.6033,0.2521,357
