Symbol,Name,Exchange,Last,Industry,Sector,SIC Description
KR,Kroger Company,NYSE,33.28,Retail - Supermarket,Retail-Wholesale,N/A
KRA,Kraton Performance Polymers Inc,NYSE,16.16,Chemical - Specialty,Basic Materials,"SIC-2821 Plastic Materials, Synth Resins & Nonvulcan"
KRC,Kilroy Realty Corp,NYSE,51.74,REIT - Equity Trust Other,Finance,SIC-6798 Real Estate Investment Trusts
KREF,KKR Real Estate Finance Trust Inc,NYSE,16.31,REIT - Mortgage Trusts,Finance,SIC-6798 Real Estate Investment Trusts
KRG,Kite Realty Group Trust,NYSE,10.57,REIT - Equity Trust Retail,Finance,SIC-6798 Real Estate Investment Trusts
KRKR,36Kr Holdings Inc ADR,NASDAQ,2.48,Business Information,Business Services,"SIC-7389 Services-Business Services, NEC"
KRMD,Repro Med Sys Inc,NASDAQ,7.02,Medical Instruments,Medical,SIC-3841 Surgical & Medical Instruments & Apparatus
KRNT,Kornit Digital Ord,NASDAQ,60.82,Printing - Commercial,Industrial Products,SIC-3555 Printing Trades Machinery & Equipment
KRNY,Kearny Financial,NASDAQ,6.92,Finance - Savings & Loan,Finance,"SIC-6035 Savings Institution, Federally Chartered"
KRO,Kronos Worldwide Inc,NYSE,12.27,Chemical - Diversified,Basic Materials,SIC-2810 Industrial Inorganic Chemicals
KROS,Keros Therapeutics Inc,NASDAQ,41.25,Medical - Biomedical,Medical,N/A
KRP,Kimbell Royalty Partners,NYSE,6.56,Oil - US Royalty Trusts,Oils-Energy,SIC-1311 Crude Petroleum & Natural Gas
KRTX,Karuna Therapeutics Inc,NASDAQ,76.93,Medical - Biomedical,Medical,SIC-2834 Pharmaceutical Preparations
KRUS,Kura Sushi USA Inc Cl A,NASDAQ,13.54,Retail - Restaurants,Retail-Wholesale,SIC-5812 Retail-Eating Places
KRYS,Krystal Biotech Inc,NASDAQ,41.27,Medical - Biomedical,Medical,"SIC-2836 Biological Products, (No Disgnostic Substanc"
KSPN,Kaspien Holdings Inc,NASDAQ,7.7,Advertising Marketing Services,Business Services,SIC-5735 Retail-Record & Prerecorded Tape Stores
KSS,Kohl's Corp,NYSE,20.15,Retail - Regional Dept Stores,Retail-Wholesale,N/A
KSU,Kansas City Southern,NYSE,180.62,Transportation - Rail,Transportation,"SIC-4011 Railroads, Line-Haul Operating"
KT,Korea Telecom Corp,NYSE,9.53,Wireless Non-US,Computers and Technology,SIC-4813 Telephone Communications (No Radiotelephone)
KTB,Kontoor Brands Inc [Ktb/I],NYSE,22.4,Textile - Apparel,Consumer Staples,"SIC-2320 Mens & Boys Furnishings, Work Clothg, & Alli"
KTCC,Key Tronic Cp,NASDAQ,8.87,Computers - Peripheral Equpt,Computers and Technology,SIC-3672 Printed Circuit Boards
KTOS,Kratos Defns,NASDAQ,18.51,Aerospace - Defense Equipment,Aerospace,SIC-3760 Guided Missiles & Space Vehicles & Parts
KTOV,Kitov Pharma Ltd,NASDAQ,4.07,Medical - Drugs,Medical,SIC-2834 Pharmaceutical Preparations
KTRA,Kintara Therapeutics Inc,NASDAQ,1.24,Medical - Drugs,Medical,SIC-2834 Pharmaceutical Preparations
KURA,Kura Oncology,NASDAQ,28.36,Medical - Biomedical,Medical,SIC-2834 Pharmaceutical Preparations
KVHI,K V H Inds Inc,NASDAQ,8.26,Communications Components,Computers and Technology,SIC-3663 Radio & Tv Broadcasting & Communications Equ
KW,Kennedy-Wilson Holdings Inc,NYSE,14.01,Real Estate Operations,Finance,SIC-6500 Real Estate
KWR,Quaker Chemical Corp,NYSE,172.92,Chemical - Specialty,Basic Materials,SIC-2990 Miscellaneous Products of Petroleum & Coal
KXIN,Kaixin Auto Holdings,NASDAQ,0.45,Auto - Truck Replacement Parts,Auto-Tires-Trucks,N/A
KYMR,Kymera Therapeutics Inc,NASDAQ,29.98,Medical - Biomedical,Medical,N/A
KZIA,Kazia Therapeutics Ltd,NASDAQ,6.7,Medical - Biomedical,Medical,SIC-2834 Pharmaceutical Preparations
KZR,Kezar Life Sciences Inc,NASDAQ,4.86,Medical - Biomedical,Medical,SIC-2834 Pharmaceutical Preparations
L,Loews Corp,NYSE,33.54,Insurance - Multi Line,Finance,"SIC-6331 Fire, Marine & Casualty Insurance"
LAC,Lithium Americas Corp,NYSE,7.09,Chemical - Diversified,Basic Materials,SIC-1000 Metal Mining
LAD,Lithia Motors,NYSE,225.53,Retail - Wsale Auto & Trucks,Retail-Wholesale,SIC-5500 Retail-Auto Dealers & Gasoline Stations
LADR,Ladder Capital Corp,NYSE,6.57,REIT - Mortgage Trusts,Finance,SIC-6798 Real Estate Investment Trusts
LAIX,Laix Inc ADR,NYSE,1.94,Technology Services,Business Services,SIC-8200 Services-Educational Services
LAKE,Lakeland Inds Inc,NASDAQ,18.3,Protection - Safety,Industrial Products,"SIC-3842 Orthopedic, Prosthetic & Surgical Appliances"
LAMR,Lamar Advertis A,NASDAQ,64.31,REIT - Equity Trust Other,Finance,SIC-6798 Real Estate Investment Trusts
LANC,Lancaster Colony Cor,NASDAQ,176.77,Food - Misc & Diversified,Consumer Staples,"SIC-2030 Canned, Frozen & Preserved Fruit, Veg & Food"
LAND,Gladstone Land Corp,NASDAQ,14.5,REIT - Equity Trust Other,Finance,SIC-6798 Real Estate Investment Trusts
LARK,Landmark Bancorp Inc,NASDAQ,20.74,Finance - Savings & Loan,Finance,SIC-6021 National Commercial Banks
LASR,Nlight Inc,NASDAQ,23.11,Electronics - Semiconductors,Computers and Technology,SIC-3674 Semiconductors & Related Devices
LAUR,Laureate Education Inc,NASDAQ,12.33,Schools,Consumer Discretionary,SIC-8200 Services-Educational Services
LAWS,Lawson Products IN,NASDAQ,40.5,Metal Products - Distribution,Basic Materials,"SIC-5080 Wholesale-Machinery, Equipment & Supplies"
