Season,Name,Tm,PA,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,playerId
2002,Aaron Rowand,CHW,331.00,1.6757,0.1852,0.5103,0.3045,0.1486,0.0946,0.0323,0.4375,0.4595,0.2703,0.2703,0.1822,0.5659,0.2519,254.00
2002,Frank Thomas,CHW,628.00,0.3966,0.2081,0.2249,0.5670,0.1603,0.1181,0.0532,0.0000,0.4713,0.2536,0.2751,0.1722,0.5622,0.2656,255.00
2002,Jose Valentin,CHW,527.00,0.7988,0.2154,0.3484,0.4362,0.0976,0.1524,0.0382,0.4286,0.5117,0.2089,0.2794,0.1514,0.5796,0.2689,256.00
2002,Moises Alou,CHC,534.00,1.0373,0.2300,0.3920,0.3779,0.0994,0.0932,0.0240,0.0000,0.4272,0.3216,0.2512,0.1103,0.6315,0.2582,261.00
2002,Mark Bellhorn,CHC,529.00,0.7609,0.1873,0.3512,0.4615,0.1304,0.1957,0.0571,0.2500,0.5446,0.2277,0.2277,0.1551,0.5446,0.3003,264.00
2002,Roosevelt Brown,CHC,231.00,1.7826,0.1742,0.5290,0.2968,0.1304,0.0652,0.0488,0.0000,0.5097,0.2323,0.2581,0.1161,0.6065,0.2774,268.00
2002,Joe Girardi,CHC,256.00,2.2308,0.1600,0.5800,0.2600,0.0962,0.0192,0.0776,0.0000,0.3317,0.3171,0.3512,0.1610,0.6927,0.1463,280.00
2002,Alex Gonzalez,CHC,568.00,1.2734,0.2281,0.4324,0.3395,0.1328,0.1406,0.0613,0.0000,0.4360,0.3055,0.2585,0.1514,0.5953,0.2533,281.00
2002,Bobby Hill,CHC,215.00,1.8750,0.2069,0.5172,0.2759,0.1000,0.1000,0.0133,0.1429,0.4145,0.2829,0.3026,0.1842,0.6184,0.1974,283.00
2002,Todd Hundley,CHC,303.00,0.8161,0.1551,0.3797,0.4652,0.1494,0.1839,0.0423,0.0000,0.5691,0.2074,0.2234,0.1755,0.5426,0.2819,284.00
2002,Robert Machado,2 Tms,233.00,1.1639,0.2326,0.4128,0.3547,0.0492,0.0492,0.0563,0.0000,0.4023,0.3333,0.2644,0.1503,0.6069,0.2428,289.00
2002,Fred McGriff,CHC,595.00,0.8691,0.1678,0.3869,0.4452,0.0838,0.1571,0.0482,0.0000,0.4755,0.3030,0.2214,0.1235,0.5455,0.3310,293.00
2002,Bill Mueller,2 Tms,427.00,1.3113,0.2530,0.4238,0.3232,0.0943,0.0660,0.0144,0.2000,0.4144,0.2613,0.3243,0.1054,0.6928,0.2018,295.00
2002,Corey Patterson,CHC,628.00,1.5214,0.2014,0.4819,0.3167,0.1571,0.1000,0.0657,0.3529,0.4662,0.3137,0.2200,0.1917,0.5948,0.2135,300.00
2002,Sammy Sosa,CHC,666.00,1.0870,0.1923,0.4207,0.3870,0.1429,0.3043,0.0571,0.0000,0.4087,0.2764,0.3149,0.1250,0.5529,0.3221,302.00
2002,Chris Stynes,CHC,225.00,0.8714,0.2202,0.3631,0.4167,0.1714,0.0714,0.0984,0.1667,0.4023,0.2644,0.3333,0.2023,0.5954,0.2023,303.00
2002,Aaron Boone,CIN,685.00,1.0615,0.1846,0.4199,0.3955,0.1128,0.1333,0.0870,0.3333,0.4390,0.2894,0.2717,0.1496,0.6004,0.2500,311.00
2002,Sean Casey,CIN,476.00,1.7407,0.2231,0.4934,0.2835,0.0648,0.0556,0.0319,0.0000,0.3806,0.3386,0.2808,0.1026,0.6605,0.2368,314.00
2002,Adam Dunn,CIN,676.00,0.9795,0.2147,0.3886,0.3967,0.1644,0.1781,0.0280,0.0000,0.4688,0.2873,0.2439,0.1247,0.5962,0.2791,319.00
2002,Juan Encarnacion,2 Tms,644.00,1.2024,0.2194,0.4262,0.3544,0.1071,0.1429,0.0842,0.2857,0.4387,0.2620,0.2994,0.1767,0.6091,0.2141,320.00
2002,Ken Griffey Jr.,CIN,232.00,1.0167,0.2484,0.3789,0.3727,0.1000,0.1333,0.0164,1.0000,0.4938,0.2531,0.2531,0.0926,0.6235,0.2840,327.00
2002,Austin Kearns,CIN,435.00,1.4667,0.2423,0.4505,0.3072,0.1444,0.1444,0.1061,0.0000,0.3912,0.3367,0.2721,0.1497,0.5544,0.2959,332.00
2002,Barry Larkin,CIN,567.00,1.2395,0.1798,0.4539,0.3662,0.0958,0.0419,0.0483,0.1429,0.3952,0.2894,0.3153,0.1317,0.6760,0.1922,335.00
2002,Jason LaRue,CIN,397.00,1.2289,0.2060,0.4378,0.3562,0.1687,0.1446,0.1176,0.4286,0.5375,0.2500,0.2125,0.1958,0.5875,0.2167,337.00
2002,Reggie Taylor,CIN,311.00,1.0267,0.2245,0.3929,0.3827,0.1333,0.1200,0.0779,0.2000,0.4722,0.2778,0.2500,0.1944,0.6065,0.1991,358.00
2002,Todd Walker,CIN,675.00,1.2228,0.2254,0.4261,0.3485,0.0326,0.0598,0.0311,0.2308,0.3420,0.3105,0.3475,0.1148,0.6704,0.2148,359.00
2002,Milton Bradley,CLE,358.00,1.7143,0.1899,0.5116,0.2984,0.1039,0.1169,0.0682,0.3000,0.3731,0.3209,0.3060,0.1679,0.6082,0.2239,369.00
2002,Russell Branyan,2 Tms,435.00,0.8878,0.1991,0.3766,0.4242,0.0918,0.2449,0.0920,0.0000,0.4892,0.2511,0.2597,0.1515,0.5584,0.2900,370.00
2002,Ellis Burks,CLE,570.00,1.4234,0.1922,0.4745,0.3333,0.1168,0.2336,0.0923,0.0000,0.5146,0.2913,0.1942,0.1557,0.5401,0.3041,372.00
2002,Einar Diaz,CLE,351.00,1.4947,0.1856,0.4880,0.3265,0.1474,0.0211,0.0634,0.2000,0.6312,0.2392,0.1296,0.1827,0.6412,0.1761,378.00
2002,Travis Fryman,CLE,439.00,1.3905,0.2006,0.4650,0.3344,0.0762,0.1048,0.0548,0.0000,0.5270,0.2635,0.2095,0.1051,0.6975,0.1975,385.00
2002,Ricky Gutierrez,CLE,384.00,2.1429,0.2066,0.5410,0.2525,0.0390,0.0519,0.0606,0.0000,0.4175,0.3010,0.2816,0.1456,0.6634,0.1909,387.00
2002,Matt Lawton,CLE,484.00,1.4351,0.1649,0.4921,0.3429,0.1298,0.1145,0.0426,0.0000,0.4674,0.2689,0.2637,0.1417,0.6877,0.1706,390.00
2002,Chris Magruder,CLE,278.00,1.1622,0.2040,0.4279,0.3682,0.1757,0.0811,0.0233,0.1667,0.4831,0.2899,0.2271,0.1836,0.6618,0.1546,392.00
2002,John McDonald,CLE,288.00,1.3188,0.2488,0.4272,0.3239,0.2174,0.0145,0.0549,0.3000,0.4215,0.2780,0.3004,0.1441,0.6982,0.1577,395.00
2002,Jim Thome,CLE,613.00,0.7933,0.2248,0.3429,0.4323,0.0733,0.3467,0.0672,0.0000,0.4092,0.3429,0.2478,0.1210,0.4841,0.3948,409.00
2002,Omar Vizquel,CLE,663.00,0.8981,0.2054,0.3760,0.4186,0.1296,0.0648,0.0567,0.1579,0.4093,0.2953,0.2953,0.1850,0.6355,0.1794,411.00
2002,Gary Bennett,COL,314.00,1.9231,0.2276,0.5081,0.2642,0.0923,0.0615,0.0400,0.0000,0.3024,0.2863,0.4113,0.1492,0.6734,0.1774,420.00
2002,Brent Butler,COL,367.00,1.0172,0.2403,0.3831,0.3766,0.1034,0.0776,0.0932,0.0000,0.4712,0.2821,0.2468,0.1731,0.6282,0.1987,423.00
